Name,Model,Role,PV,Type,Size,Move,Short,Medium,Long,Overheat,Armor,Structure,Specials,ImageURL,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Celerity CLR-02-X-D,CLR-02-X-D,Scout,15,BM,1,"40""",0,0,0,0,1,1,"C3I,DRO,ENE,MHQ2",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,ComStar,ComStar,ComStar,Extinct,Extinct,Extinct,Extinct
Celerity CLR-03-O,CLR-03-O,Scout,15,BM,1,"40""",0,0,0,0,1,1,"C3S,DRO,ENE,MHQ1,OMNI,TAG",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
Celerity CLR-03-OA,CLR-03-OA,Scout,16,BM,1,"40""",0,0,0,0,1,1,"DRO,ENE,OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
Celerity CLR-03-OB,CLR-03-OB,Scout,16,BM,1,"40""",0,0,0,0,1,1,"AECM,DRO,ENE,OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
Celerity CLR-03-OC,CLR-03-OC,Scout,16,BM,1,"40""",0,0,0,0,1,1,"DRO,ENE,OMNI,PRB,RCN,RSD1",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
Celerity CLR-03-OD,CLR-03-OD,Scout,16,BM,1,"40""",0,0,0,0,1,1,"DRO,ENE,OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
Celerity CLR-03-OE,CLR-03-OE,Scout,27,BM,1,"40""",2,2,0,0,1,1,"DRO,OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
"Celerity CLR-03-OMM ""Rajah""","CLR-03-OMM ""Rajah""",Scout,14,BM,1,"16""",1,1,0,0,1,1,"DRO,ENE,MEL",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Solaris 7, Unique","Solaris 7, Unique"
Celerity CLR-04-R,CLR-04-R,Scout,11,BM,1,"30""",0,0,0,0,1,1,"DRO,TSEMP-O1",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Extinct
Celerity CLR-05-X,CLR-05-X,Scout,14,BM,1,"48""",0,0,0,0,1,1,"DRO,ENE,IRA,MEL",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Extinct
Flea FLE-14,FLE-14,Scout,14,BM,1,"18""/8""j",1,1,0,0,1,1,"ENE,JMPW2",https://i.ibb.co/c6JXCzJ/flea-xtr.png,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Extinct,Extinct,Extinct,Extinct
Prey Seeker PY-SR10,PY-SR10,Striker,26,BM,1,"24""",2,2,0,0,2,1,"ENE,REL",https://i.ibb.co/WkLHSR4/prey-seeker-3150.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns
Prey Seeker PY-SR20,PY-SR20,Striker,27,BM,1,"24""",2,2,0,1,2,1,ENE,https://i.ibb.co/WkLHSR4/prey-seeker-3150.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns
Prey Seeker PY-SR30,PY-SR30,Scout,17,BM,1,"24""",1,0,0,0,2,1,,https://i.ibb.co/WkLHSR4/prey-seeker-3150.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns
Roadrunner (Emerald Harrier) RD-1R,RD-1R,Scout,22,BM,1,"28""",2,2,0,0,1,1,ENE,https://i.ibb.co/V2FSLgK/roadrunner-emerald-harrier-3150.jpg,Unknown,Unknown,Clan Jade Falcon,Clan Jade Falcon,Clan Jade Falcon,Extinct,Extinct,Extinct,Republic of the Sphere,Republic of the Sphere,"Capellan Confederation, Mercenary, Star League (Clan Jade Falcon)"
Baboon (Howler)  , ,Missile Boat,20,BM,1,"14""",1,1,1,0,2,2,"CASE,IF1",https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,,,,,,,,,,,
Baboon (Howler) 2,2,Striker,24,BM,1,"16""",3,2,1,0,2,1,CASE,https://i.ibb.co/RzkcrSN/baboon-howler-pp.png,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Snow Raven, Clan Steel Viper","Clan Snow Raven, Clan Steel Viper",Raven Alliance,Raven Alliance,Raven Alliance,Raven Alliance
"Baboon (Howler) 3 ""Devil""","3 ""Devil""",Striker,24,BM,1,"16""",2,2,2,0,2,1,ENE,https://i.ibb.co/RzkcrSN/baboon-howler-pp.png,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Snow Raven,Clan Snow Raven,Raven Alliance,Raven Alliance,Raven Alliance,Raven Alliance
